codigo_dane,nombre_entidad,anio,poblacion_urbana,poblacion_rural,poblacion_total,pib,valor_agregado_bruto,deuda_publica
5,ANTIOQUIA,2018,4972962,1434187,6407149,1.4168E+14,1.2891E+14,1.5195E+12
5,ANTIOQUIA,2019,5075565,1442505,6518070,1.53559E+14,1.39465E+14,1.59108E+12
5,ANTIOQUIA,2020,5189381,1452691,6642072,1.48362E+14,1.35904E+14,1.67928E+12
5,ANTIOQUIA,2021,5262054,1459086,6721140,1.77769E+14,1.61839E+14,1.9872E+12
5,ANTIOQUIA,2022,5315750,1461499,6777249,2.11751E+14,1.90746E+14,2.13735E+12
5,ANTIOQUIA,2023,5363526,1462599,6826125,2.31122E+14,2.09518E+14,2.25735E+12
5,ANTIOQUIA,2024,5403715,1477084,6880799,2.53232E+14,2.30524E+14,2.35341E+12
5,ANTIOQUIA,2025,5450720,1477652,6928372,,,
8,ATLÁNTICO,2018,2404819,130687,2535506,4.33689E+13,3.89474E+13,3.37481E+11
8,ATLÁNTICO,2019,2475498,133410,2608908,4.65748E+13,4.16687E+13,4.05958E+11
8,ATLÁNTICO,2020,2556800,136588,2693388,4.48326E+13,4.05127E+13,
8,ATLÁNTICO,2021,2602268,139028,2741296,5.27683E+13,4.74046E+13,5.06912E+11
8,ATLÁNTICO,2022,2633270,140739,2774009,6.39071E+13,5.69044E+13,6.28461E+11
8,ATLÁNTICO,2023,2663066,142335,2805401,7.08615E+13,6.35787E+13,1.38407E+11
8,ATLÁNTICO,2024,2692867,143928,2836795,7.68184E+13,6.91601E+13,1.10334E+12
8,ATLÁNTICO,2025,2719746,145288,2865034,,,
11,"BOGOTÁ, D.C.",2018,7366187,24869,7391056,2.53941E+14,2.27063E+14,
11,"BOGOTÁ, D.C.",2019,7507403,25799,7533202,2.73524E+14,2.43836E+14,
11,"BOGOTÁ, D.C.",2020,7690578,26986,7717564,2.60747E+14,2.33872E+14,
11,"BOGOTÁ, D.C.",2021,7777174,27746,7804920,3.03287E+14,2.6887E+14,
11,"BOGOTÁ, D.C.",2022,7820740,28466,7849206,3.62157E+14,3.16528E+14,
11,"BOGOTÁ, D.C.",2023,7854783,29145,7883928,3.95438E+14,3.47979E+14,
11,"BOGOTÁ, D.C.",2024,7888813,29847,7918660,4.30151E+14,3.80526E+14,
11,"BOGOTÁ, D.C.",2025,7912359,30508,7942867,,,
13,BOLÍVAR,2018,1549072,521011,2070083,3.54103E+13,3.1485E+13,1.06004E+11
13,BOLÍVAR,2019,1574683,533729,2108412,3.82853E+13,3.39909E+13,1.38482E+11
13,BOLÍVAR,2020,1603626,547835,2151461,3.4626E+13,3.09643E+13,1.30469E+11
13,BOLÍVAR,2021,1620250,557102,2177352,4.21699E+13,3.74483E+13,1.90867E+11
13,BOLÍVAR,2022,1630981,564294,2195275,5.1341E+13,4.5233E+13,2.74737E+11
13,BOLÍVAR,2023,1640242,570737,2210979,5.69245E+13,5.06162E+13,3.00782E+11
13,BOLÍVAR,2024,1649787,577394,2227181,6.11849E+13,5.45594E+13,2.87438E+11
13,BOLÍVAR,2025,1657713,583569,2241282,,,
15,BOYACÁ,2018,715086,503669,1218755,2.68842E+13,2.48853E+13,1.0736E+11
15,BOYACÁ,2019,730718,502712,1233430,2.85735E+13,2.63844E+13,1.32175E+11
15,BOYACÁ,2020,742796,506181,1248977,2.64801E+13,2.45078E+13,1.37366E+11
15,BOYACÁ,2021,753770,506457,1260227,3.1176E+13,2.87085E+13,1.28659E+11
15,BOYACÁ,2022,762619,505748,1268367,3.94242E+13,3.62787E+13,1.14028E+11
15,BOYACÁ,2023,770593,504693,1275286,4.22772E+13,3.90492E+13,1.24742E+11
15,BOYACÁ,2024,778910,504315,1283225,4.52325E+13,4.18498E+13,1.16341E+11
15,BOYACÁ,2025,786824,503569,1290393,,,
17,CALDAS,2018,740866,257383,998249,1.57108E+13,1.44211E+13,34324000000
17,CALDAS,2019,754261,257325,1011586,1.70124E+13,1.56078E+13,88097000000
17,CALDAS,2020,768323,257325,1025648,1.66741E+13,1.5443E+13,1.01418E+11
17,CALDAS,2021,779406,255800,1035206,1.95946E+13,1.80472E+13,1.49116E+11
17,CALDAS,2022,787981,253251,1041232,2.38733E+13,2.18277E+13,1.71041E+11
17,CALDAS,2023,794497,250073,1044570,2.62127E+13,2.41207E+13,2.03265E+11
17,CALDAS,2024,802717,247409,1050126,2.8821E+13,2.66295E+13,1.77659E+11
17,CALDAS,2025,809978,244472,1054450,,,
18,CAQUETÁ,2018,258773,143312,402085,4.07161E+12,3.86406E+12,
18,CAQUETÁ,2019,262363,143748,406111,4.31345E+12,4.08507E+12,
18,CAQUETÁ,2020,266465,144102,410567,4.17064E+12,3.9522E+12,
18,CAQUETÁ,2021,269688,145259,414947,4.77833E+12,4.51363E+12,2321000000
18,CAQUETÁ,2022,272442,146282,418724,5.58577E+12,5.22639E+12,4285000000
18,CAQUETÁ,2023,274985,147286,422271,6.25043E+12,5.87233E+12,5803000000
18,CAQUETÁ,2024,277433,148394,425827,6.83103E+12,6.43394E+12,5230000000
18,CAQUETÁ,2025,279588,149453,429041,,,
19,CAUCA,2018,545909,918593,1464502,1.7479E+13,1.58414E+13,13739000000
19,CAUCA,2019,552173,935204,1487377,1.87554E+13,1.69584E+13,9218000000
19,CAUCA,2020,558754,952150,1510904,1.81937E+13,1.65736E+13,5694000000
19,CAUCA,2021,564439,967495,1531934,2.14495E+13,1.93801E+13,20240000000
19,CAUCA,2022,568596,981263,1549859,2.61762E+13,2.34289E+13,32348000000
19,CAUCA,2023,571716,994029,1565745,2.8537E+13,2.57322E+13,35566000000
19,CAUCA,2024,575275,1007820,1583095,3.11029E+13,2.81561E+13,31823000000
19,CAUCA,2025,578378,1020770,1599148,,,
20,CESAR,2018,903376,297213,1200589,2.12628E+13,2.06091E+13,1.28594E+11
20,CESAR,2019,939403,311772,1251175,2.07245E+13,2.00172E+13,1.10469E+11
20,CESAR,2020,979793,327970,1307763,1.77105E+13,1.71095E+13,1.03002E+11
20,CESAR,2021,1010095,337351,1347446,2.33099E+13,2.25365E+13,80823000000
20,CESAR,2022,1034519,344760,1379279,3.91327E+13,3.80722E+13,66685000000
20,CESAR,2023,1058250,351897,1410147,3.48209E+13,3.37103E+13,90902000000
20,CESAR,2024,1081709,358775,1440484,3.10922E+13,2.99222E+13,1.06628E+11
20,CESAR,2025,1103948,365211,1469159,,,
23,CÓRDOBA,2018,937313,847441,1784754,1.68001E+13,1.56624E+13,47269000000
23,CÓRDOBA,2019,954382,866857,1821239,1.82787E+13,1.70442E+13,61743000000
23,CÓRDOBA,2020,972571,887239,1859810,1.78929E+13,1.67909E+13,54084000000
23,CÓRDOBA,2021,989322,901540,1890862,2.1116E+13,1.97343E+13,88182000000
23,CÓRDOBA,2022,1003942,913800,1917742,2.57602E+13,2.39943E+13,1.52746E+11
23,CÓRDOBA,2023,1018202,925549,1943751,2.83033E+13,2.64222E+13,1.76991E+11
23,CÓRDOBA,2024,1032103,937005,1969108,3.09525E+13,2.89783E+13,
23,CÓRDOBA,2025,1045258,947649,1992907,,,
25,CUNDINAMARCA,2018,2093005,846835,2939840,5.90848E+13,5.28982E+13,7.69966E+11
25,CUNDINAMARCA,2019,2191313,861008,3052321,6.31122E+13,5.63327E+13,7.33125E+11
25,CUNDINAMARCA,2020,2294117,863825,3157942,6.13148E+13,5.50308E+13,6.54174E+11
25,CUNDINAMARCA,2021,2377148,865520,3242668,7.34053E+13,6.53757E+13,9.65503E+11
25,CUNDINAMARCA,2022,2452698,863885,3316583,9.15404E+13,8.11675E+13,1.1173E+12
25,CUNDINAMARCA,2023,2527581,860902,3388483,9.99448E+13,8.91227E+13,1.34796E+12
25,CUNDINAMARCA,2024,2605129,857875,3463004,1.08202E+14,9.68251E+13,1.28374E+12
25,CUNDINAMARCA,2025,2681181,853886,3535067,,,
27,CHOCÓ,2018,243180,291627,534807,3.77713E+12,3.65264E+12,46533000000
27,CHOCÓ,2019,245821,299499,545320,4.16756E+12,4.03005E+12,45397000000
27,CHOCÓ,2020,247974,307813,555787,4.4894E+12,4.34882E+12,43552000000
27,CHOCÓ,2021,250165,314217,564382,5.19792E+12,5.02794E+12,41619000000
27,CHOCÓ,2022,252119,320139,572258,6.10777E+12,5.87951E+12,38799000000
27,CHOCÓ,2023,253706,325736,579442,6.89133E+12,6.65939E+12,37043000000
27,CHOCÓ,2024,267616,318512,586128,7.58195E+12,7.33934E+12,3743000000
27,CHOCÓ,2025,269187,323919,593106,,,
41,HUILA,2018,669696,430668,1100364,1.59893E+13,1.50553E+13,27250000000
41,HUILA,2019,680476,437310,1117786,1.71979E+13,1.61837E+13,68875000000
41,HUILA,2020,691416,443980,1135396,1.66529E+13,1.57565E+13,71194000000
41,HUILA,2021,701626,449856,1151482,1.97286E+13,1.85903E+13,68777000000
41,HUILA,2022,710993,455150,1166143,2.44965E+13,2.29417E+13,60827000000
41,HUILA,2023,719797,460085,1179882,2.6533E+13,2.49122E+13,91651000000
41,HUILA,2024,729291,465463,1194754,2.931E+13,2.76065E+13,1.0186E+11
41,HUILA,2025,738236,470492,1208728,,,
44,LA GUAJIRA,2018,410637,469915,880552,1.18819E+13,1.14925E+13,1.00126E+11
44,LA GUAJIRA,2019,438015,480047,918062,1.12251E+13,1.08039E+13,1.00126E+11
